fid,OBJECTID,Street,SAFStreetName,FeatureTyp,SegmentTyp,IncExFlag,RB_Layer,NonPed,TrafDir,TrafSrc,SpecAddr,FaceCode,SeqNum,StreetCode,SAFStreetCode,LGC1,LGC2,LGC3,LGC4,LGC5,LGC6,LGC7,LGC8,LGC9,BOE_LGC,SegmentID,SegCount,LocStatus,LZip,RZip,LBoro,RBoro,L_CD,R_CD,LATOMICPOLYGON,RATOMICPOLYGON,LCT2020,LCT2020Suf,RCT2020,RCT2020Suf,LCB2020,LCB2020Suf,RCB2020,RCB2020Suf,LCT2010,LCT2010Suf,RCT2010,RCT2010Suf,LCB2010,LCB2010Suf,RCB2010,RCB2010Suf,LCT2000,LCT2000Suf,RCT2000,RCT2000Suf,LCB2000,LCB2000Suf,RCB2000,RCB2000Suf,LCT1990,LCT1990Suf,RCT1990,RCT1990Suf,LAssmDist,LElectDist,RAssmDist,RElectDist,SplitElect,LSchlDist,RSchlDist,SplitSchl,LSubSect,RSubSect,SanDistInd,MapFrom,MapTo,BoroBndry,MH_RI_Flag,XFrom,YFrom,XTo,YTo,ArcCenterX,ArcCenterY,CurveFlag,Radius,NodeIDFrom,NodeIDTo,NodeLevelF,NodeLevelT,ConParity,Twisted,RW_TYPE,PhysicalID,GenericID,NYPDID,FDNYID,LBlockFaceID,RBlockFaceID,LegacyID,Status,StreetWidth_Min,StreetWidth_Max,StreetWidth_Irr,BikeLane,BIKE_TRAFDIR,ACTIVE_FLAG,POSTED_SPEED,Snow_Priority,Number_Travel_Lanes,Number_Park_Lanes,Number_Total_Lanes,Carto_Display_Level,FCC,ROW_Type,LLo_Hyphen,LHi_Hyphen,RLo_Hyphen,RHi_Hyphen,FromLeft,ToLeft,FromRight,ToRight,Join_ID,L_PD_Service_Area,R_PD_Service_Area,TRUCK_ROUTE_TYPE,SHAPE_Length
"461","176280",BROOKLYN QUEENS EXPRESSWAY,                                ,"0",R, ,R,V,W,DCP, ,"1440","01410","437395",      ,"01","11","18",  ,  ,  ,  ,  ,  ,"1","0140620","1", ,"11377","11377","4","4","402","402","409","407"," 235","01"," 235","01","1005", ,"1004", ," 235",  ," 235",  ,"1009", ,"1009", ," 235",  ," 235",  ,"4007", ,"4007", ," 235",  ," 235",  ,"37","016","37","016", ,"24","24",,3C,3C, ,13A,13A, , ,"1006742","207178","1006660","207168","0","0", ,"0","0097134","0097132",Q,Q, , ," 2","26601",,       ,       ,"0092261000","0102264274","0140620","2",36,50, ,  ,  ,,"45",C," 3",  ," 3","10",  , ,,,,,"0","0","0","0","4144001111800", , ,"3",82.3792101951373
"462","176281",BROOKLYN QUEENS EXPRESSWAY,                                ,"0",R, ,R,V,A,DCP, ,"1440","02240","437395",      ,"01","12","18",  ,  ,  ,  ,  ,  ,"1","0140618","1", ,"11377","11377","4","4","402","402","209","228"," 205",  ," 205",  ,"2001", ,"2002", ," 205",  ," 205",  ,"2004", ,"2004", ," 187",  ," 187",  ,"1011", ,"1011", ," 205","02"," 205","02","37","015","37","015", ,"24","24",,  ,  , ,13A,13A, , ,"1006544","207105","1006493","207096","0","0", ,"0","0097135","0097126",Q,Q, , ," 2","26566",,       ,       ,"0102262703","0092261006","0140618","2",38,48, ,  ,  ,,"45",C," 3",  ," 3","10",  , ,,,,,"0","0","0","0","4144001121800", , ,"3",52.0812471046694
"463","176282",BROOKLYN QUEENS EXPRESSWAY,                                ,"0",R, ,R,V,A,DCP, ,"1440","02230","437395",      ,"01","12","18",  ,  ,  ,  ,  ,  ,"1","0140617","1", ,"11377","11377","4","4","402","402","209","228"," 205",  ," 205",  ,"2001", ,"2002", ," 205",  ," 205",  ,"2004", ,"2004", ," 187",  ," 187",  ,"1011", ,"1011", ," 205","02"," 205","02","37","015","37","015", ,"24","24",,3C,3C, ,13A,13A, , ,"1006600","207112","1006544","207105","0","0", ,"0","0086856","0097135",Q,Q, , ," 2","26566",,       ,       ,"0102262703","0092261006","0140617","2",38,48, ,  ,  ,,"45",C," 3",  ," 3","10",  , ,,,,,"0","0","0","0","4144001121800", , ,"3",56.5807477904889
"464","176284",QUEENS BOULEVARD,                                ,"0",R, ,R, ,A,DOT, ,"3894","11500","459990",      ,"01","05","08","33",  ,  ,  ,  ,  ,"1","0191289","1", ,"11377","11377","4","4","402","402","519","513"," 253","02"," 253","02","2005", ,"2005", ," 253","02"," 253","02","2006", ,"2006", ," 253",  ," 253",  ,"5000", ,"5000", ," 253",  ," 253",  ,"37","030","37","030", ,"30","30",,2C,2C, ,9B ,9B , , ,"1008398","209816","1008471","209805","0","0", ,"0","0083416","0106194",M,M, , ," 1","12086",,       ,       ,"0102268472","0102266582","0191289","2",30,42, ,  ,  ,,"25",C," 3",  ," 3","10",  , ,,,,,"0","0","0","0","4389401050833", , ,"3",73.2860770484499
"465","176285",QUEENS BOULEVARD,                                ,"0",R, ,R, ,A,DOT, ,"3894","11520","459990",      ,"01","05","08","33",  ,  ,  ,  ,  ,"1","0191342","1", ,"11377","11377","4","4","402","402","310","303"," 251",  ," 251",  ,"3004", ,"3004", ," 251",  ," 251",  ,"3003", ,"3003", ," 251",  ," 251",  ,"3002", ,"3002", ," 251",  ," 251",  ,"37","030","37","030", ,"30","30",,2C,2C, ,9D ,9D , , ,"1008655","209781","1008835","209753","0","0", ,"0","0082872","0106197",M,M, , ," 1","12086",,       ,       ,"0102268472","0102266582","0191342","2",30,42, ,  ,  ,,"25",C," 3",  ," 3","10",  , ,,,,,"0","0","0","0","4389401050833", , ,"3",181.985354064981
"466","176316",QUEENS BOULEVARD,                                ,"0",R, ,R, ,A,DOT, ,"3894","11930","459990",      ,"01","05","08",  ,  ,  ,  ,  ,  ,"1","0190992","1", ,"11377","11377","4","4","402","402","231","137"," 489",  ," 489",  ,"1004", ,"1004", ," 483",  ," 483",  ,"2011", ,"2011", ," 483",  ," 483",  ,"2013", ,"2013", ," 483",  ," 483",  ,"30","025","30","025", ,"24","24",,1D,1D, ,9D ,9D , , ,"1013282","208970","1013317","208962","0","0", ,"0","0106561","0089362",M,M, , ," 1","12101",,       ,       ,"0092267175","0092269068","0190992","2",22,25, ,  ,  ,,"25",C," 2",  ," 2","10",  , ,,,,,"0","0","0","0","4389401050800", , ,"3",35.792361409679
"467","176323",QUEENS BOULEVARD,                                ,"0",G, ,G, ,T,DCP, ,"3894","03117","459990",      ,"01",  ,  ,  ,  ,  ,  ,  ,  ,"1","0183843","1",X,"11377","11377","4","4","402","402","102","137"," 249",  ," 249",  ,"1004", ,"1004", ," 249",  ," 245",  ,"1002", ,"1000", ," 249",  ," 245",  ,"1005", ,"1004", ," 249",  ," 245",  ,"30","021","30","012", ,"30","24",,1C,1E, ,9D ,9D , , ,"1011149","209375","1011220","209365","0","0", ,"0","0089808","0090009",*,*, , ," 1",,"10260",       ,       ,          ,          ,"0183843","2",,, ,  ,  ,,  ,C,  ,  ,  ,"10",  , , 62-001, 62-099, 62-050, 62-098,"62001","62099","62050","62098","4389401000000", , , ,71.8005443906827
"468","176381",BROOKLYN QUEENS EXPRESSWAY,                                ,"0",R, ,R,V,W,DCP, ,"1440","01360","437395",      ,"01","11","18",  ,  ,  ,  ,  ,  ,"1","0140601","1", ,"11377","11377","4","4","402","402","108","411"," 229",  ," 235","01","1002", ,"1003", ," 235",  ," 235",  ,"1005", ,"1005", ," 205","02"," 235",  ,"1000", ,"4005", ," 235",  ," 235",  ,"37","016","37","016", ,"24","24",,3C,3C, ,13A,13A, , ,"1007280","207230","1007115","207221","0","0", ,"0","0063822","0086155",Q,Q, , ," 2","26600",,       ,       ,"0092261000","0102264274","0140601","2",36,50, ,  ,  ,,"45",C," 3",  ," 3","10",  , ,,,,,"0","0","0","0","4144001111800", , ,"3",165.295825805395
"469","176479",QUEENS BOULEVARD,                                ,"0",R, ,R, ,W,DCP, ,"3894","13860","459990",      ,"01","06","10",  ,  ,  ,  ,  ,  ,"1","0149777","1", ,"11377","11377","4","4","402","402","114","125"," 483","02"," 483","02","1012", ,"1012", ," 243",  ," 243",  ,"4000", ,"4000", ," 243",  ," 243",  ,"1001", ,"1001", ," 243",  ," 243",  ,"30","016","30","016", ,"24","24",,1E,1E, ,9D ,9D , , ,"1012697","209075","1012733","209066","0","0", ,"0","0089372","0089371",M,M, , ," 1","12346",,       ,       ,"0092267325","0092261769","0149777","2",20,34, ,  ,  ,,"25",C," 2",  ," 2","10",  , ,,,,,"0","0","0","0","4389401061000", , ,"3",36.5074809502863
"470","176491",BROOKLYN QUEENS EXPRESSWAY,                                ,"0",G, ,G,V,T,DCP, ,"1440","00270","437395",      ,"01","18",  ,  ,  ,  ,  ,  ,  ,"1","0174791","1",X,"11377","11377","4","4","402","402","223","115"," 247",  ," 247",  ,"1004", ,"1004", ," 483",  ," 247",  ,"2012", ,"1000", ," 483",  ," 247",  ,"2009", ,"1008", ," 483",  ," 247",  ,"30","025","30","022", ,"24","24",,1D,1D, ,9D ,9D , , ,"1012464","209402","1012327","209252","0","0", ,"0","0045396","0089464",*,*, , ," 2",,"22735",       ,       ,          ,          ,"0174791","2",,, ,  ,  ,,  ,C,  ,  ,  ,"10",  , ,,,,,"0","0","0","0","4144001180000", , , ,203.573199740849
"471","176650",BROOKLYN QUEENS EXPRESSWAY WEST,                                ,"0",U, ,B, ,W,DOT, ,"1444","08000","437395",      ,"08","01","03","06","18",  ,  ,  ,  ,"4","0175104","1", ,"11377","11377","4","4","401","401","107","106"," 141",  ," 141",  ,"2004", ,"2009", ," 141",  ," 141",  ,"2003", ,"2009", ," 141",  ," 141",  ,"1000", ,"1009", ," 141",  ," 141",  ,"34","017","34","017", ,"30","30",,5E,5E, ,9C ,9C , , ,"1010679","218810","1010737","218714","0","0", ,"0","0046231","0099343",M,M, , ," 1","178849","165020",       ,       ,"0102264004","0102265094","0175104","2",30,30, ,  ,  ,,"30",C," 1"," 2"," 3",,  , ,,,,,"0","0","0","0","4144408010306", , , ,112.379260366097
"472","176652",BROOKLYN QUEENS EXPRESSWAY EAST,                                ,"0",R, ,R,V,A,DCP, ,"1442","00090","437395",      ,"07","01","14",  ,  ,  ,  ,  ,  ,"1","0190672","1", ,"11377","11377","4","4","403","403","126","129"," 309","04"," 309","04","1016", ,"1017", ," 309","04"," 309","04","1016", ,"1016", ," 309","01"," 309","01","1006", ,"1006", ," 309","01"," 309","02","34","030","34","030", ,"30","30",,1E,1E, ,9C ,9C , , ,"1013352","217800","1013336","217758","0","0", ,"0","0106896","0097349",M,M, , ," 2","26509",,       ,       ,"0102266191","0102263800","0190672","2",22,42, ,  ,  ,,"45",C," 2",  ," 2","10",  , ,,,,,"0","0","0","0","4144207011400", , ,"3",45.1022196743588
"473","176667",BROOKLYN QUEENS EXPRESSWAY WEST,                                ,"0",R, ,R,V,A,DCP, ,"1444","00600","437395",      ,"08","01","16","18",  ,  ,  ,  ,  ,"1","0139470","1", ,"11377","11377","4","4","401","401","229","139"," 297",  ," 297",  ,"2016", ,"2015", ," 309","02"," 309","02","5002", ,"5002", ," 309","02"," 309","02","2006", ,"2006", ," 309","02"," 309","02","30","046","30","048", ,"30","30",,5D,5D, ,9D ,9D , , ,"1012217","214341","1012270","214255","0","0", ,"0","0098139","0096276",Q,Q, , ," 2","26537",,       ,       ,"0102263799","0102268157","0139470","2",24,44, ,  ,  ,,"45",C," 2",  ," 2","10",  , ,,,,,"0","0","0","0","4144408011618", , ,"3",101.785480180407
"474","176678",QUEENS BOULEVARD,                                ,"0",R, ,R, ,W,DCP, ,"3894","13670","459990",      ,"01","06","10",  ,  ,  ,  ,  ,  ,"1","0149191","1", ,"11377","11377","4","4","402","402","120","125"," 249",  ," 249",  ,"1004", ,"1004", ," 245",  ," 245",  ,"1000", ,"1000", ," 245",  ," 245",  ,"1003", ,"1003", ," 245",  ," 245",  ,"30","012","30","012", ,"24","24",,1E,1E, ,9D ,9D , , ,"1011217","209336","1011231","209333","0","0", ,"0","0081099","0089796",M,M, , ," 1","12352",,       ,       ,          ,          ,"0149191","2",30,30, ,  ,  ,,"25",C," 3",  ," 3","10",  , ,,,,,"0","0","0","0","4389401061000", , ,"3",14.7656420952835
"475","176716",QUEENS BOULEVARD,                                ,"0",R, ,R, ,W,DOT, ,"3894","13750","459990",      ,"01","06","10",  ,  ,  ,  ,  ,  ,"1","0133338","1", ,"11377","11377","4","4","402","402","140","135"," 247",  ," 247",  ,"1008", ,"1008", ," 245",  ," 245",  ,"3001", ,"3001", ," 245",  ," 245",  ,"1001", ,"1001", ," 245",  ," 245",  ,"30","012","30","012", ,"24","24",,1E,1E, ,9D ,9D , , ,"1011800","209241","1012044","209208","0","0", ,"0","0083293","0103678",M,M, , ," 1","189356",,       ,       ,"0102261043","0102261178","0133338","2",30,34, ,  ,  ,,"25",C," 3",  ," 3","10",  , ,,,,,"0","0","0","0","4389401061000", , ,"3",247.170615446521
"476","176724",BROOKLYN QUEENS EXPRESSWAY WEST,                                ,"0",R, ,R,V,A,DCP, ,"1444","00550","437395",      ,"08","01","16","18",  ,  ,  ,  ,  ,"1","0139466","1", ,"11377","11377","4","4","401","401","111","143"," 297",  ," 297",  ,"1014", ,"1013", ," 297",  ," 297",  ,"1018", ,"1017", ," 297",  ," 297",  ,"1015", ,"1014", ," 297",  ," 297",  ,"34","025","34","025", ,"30","30",,5D,5D, ,9D ,9D , , ,"1011777","215423","1011810","215346","0","0", ,"0","0098159","0098085",M,I, , ," 2","173067",,       ,       ,"0102265948","0102263211","0139466","2",40,56, ,  ,  ,,"45",C," 3",  ," 3","10",  , ,,,,,"0","0","0","0","4144408011618", , ,"3",83.3659159249207
"477","176725",BROOKLYN QUEENS EXPRESSWAY WEST,                                ,"0",G, ,G,V,T,DCP, ,"1444","00115","437395",      ,"08","01","18",  ,  ,  ,  ,  ,  ,"1","0175217","1", ,"11377","11377","4","4","401","401","221","220"," 297",  ," 297",  ,"2015", ,"2015", ," 297",  ," 297",  ,"2016", ,"2015", ," 297",  ," 297",  ,"2016", ,"2015", ," 297",  ," 297",  ,"30","048","30","048", ,"30","30",,5D,5D, ,9D ,9D , , ,"1012164","214406","1012199","214336","0","0", ,"0","0096278","0098165",*,*, , ," 2",,"181340",       ,       ,          ,          ,"0175217","2",,, ,  ,  ,,  ,C,  ,  ,  ,"10",  , ,,,,,"0","0","0","0","4144408011800", , , ,77.863190495699
"478","176749",BROOKLYN QUEENS EXPRESSWAY,                                ,"0",G, ,G,V,T,DCP, ,"1440","00310","437395",      ,"01","18",  ,  ,  ,  ,  ,  ,  ,"1","0174770","1",X,"11377","11377","4","4","402","402","138","141"," 247",  ," 247",  ,"1011", ,"1011", ," 243",  ," 245",  ,"4004", ,"3000", ," 243",  ," 245",  ,"1011", ,"1000", ," 243",  ," 245",  ,"30","016","30","012", ,"24","24",,1E,1E, ,9D ,9D , , ,"1012247","209169","1012213","209134","0","0", ,"0","0089467","0081736",*,*, , ," 2",,"22736",       ,       ,          ,          ,"0174770","2",,, ,  ,  ,,  ,C,  ,  ,  ,"10",  , ,,,,,"0","0","0","0","4144001180000", , , ,48.2209397717827
"479","176763",BROOKLYN QUEENS EXPRESSWAY,                                ,"0",R, ,R,V,W,DCP, ,"1440","01130","437395",      ,"01","11","18",  ,  ,  ,  ,  ,  ,"1","0149645","1", ,"11377","11377","4","4","402","402","138","110"," 243",  ," 245",  ,"4004", ,"3000", ," 245",  ," 245",  ,"3000", ,"3000", ," 245",  ," 245",  ,"1000", ,"1000", ," 245",  ," 245",  ,"30","012","30","012", ,"24","24",,1E,1E, ,9D ,9D , , ,"1012180","209120","1012163","209102","0","0", ,"0","0089475","0103673",I,I, , ," 2","26593",,       ,       ,"0092261000","0092263789","0149645","2",30,32, ,  ,  ,,"45",C," 3",  ," 3","10",  , ,,,,,"0","0","0","0","4144001111800", , ,"3",25.3815803076197
"480","176788",BROOKLYN QUEENS EXPRESSWAY EAST,                                ,"0",R, ,R,V,A,DCP, ,"1442","00125","437395",      ,"07","01","14",  ,  ,  ,  ,  ,  ,"1","0140855","1", ,"11377","11377","4","4","403","403","114","123"," 309","05"," 297",  ,"2007", ,"1015", ," 309","02"," 309","02","2005", ,"2005", ," 309","02"," 309","02","1012", ,"1012", ," 309","02"," 309","02","34","030","34","030", ,"30","30",,1E,1E, ,9D ,9D , , ,"1012230","215930","1012137","215741","0","0", ,"0","0098069","0096991",Q,Q, , ," 2","195999",,       ,       ,"0102266191","0102263800","0140855","2",22,42, ,  ,  ,,"45",C," 2",  ," 2","10",  , ,,,,,"0","0","0","0","4144207011400", , ,"3",210.285618099932
"481","176798",QUEENS BOULEVARD,                                ,"0",R, ,R, ,W,DCP, ,"3894","13420","459990",      ,"01","06","10","32",  ,  ,  ,  ,  ,"1","0136664","1", ,"11377","11377","4","4","402","402","510","514"," 253","02"," 253","02","2007", ,"2007", ," 253","02"," 253","02","2008", ,"2008", ," 253",  ," 253",  ,"5009", ,"5009", ," 253",  ," 253",  ,"37","017","37","017", ,"24","24",,2C,2C, ,9B ,9B , , ,"1008065","209818","1008101","209812","0","0", ,"0","0101123","0101095",M,M, , ," 1","12362",,       ,       ,"0102269034","0102260883","0136664","2",30,32, ,  ,  ,,"25",C," 3",  ," 3","10",  , ,,,,,"0","0","0","0","4389401061032", , ,"3",36.4631381604919
"482","176884",QUEENS BOULEVARD,                                ,"0",G, ,G, ,T,DOT, ,"3894","03195","459990",      ,"01",  ,  ,  ,  ,  ,  ,  ,  ,"1","0174801","1",X,"11377","11377","4","4","402","402","216","119"," 483","02"," 483","02","1012", ,"1012", ," 483",  ," 243",  ,"2012", ,"4001", ," 483",  ," 243",  ,"2009", ,"1003", ," 483",  ," 243",  ,"30","025","30","016", ,"24","24",,1D,1E, ,9D ,9D , , ,"1012663","209103","1012707","209092","0","0", ,"0","0093139","0045400",*,*, , ," 1",,"10268",       ,       ,          ,          ,"0174801","2",,, ,  ,  ,,  ,C,  ,  ,  ,"10",  , ,,, 67-006, 67-010,"0","0","67006","67010","4389401000000", , , ,44.8679086639648
"483","178598",QUEENS BOULEVARD,                                ,"0",G, ,G, ,T,DOT, ,"3894","03020","459990",      ,"01",  ,  ,  ,  ,  ,  ,  ,  ,"1","0172483","1",X,"11377","11377","4","4","402","402","513","915"," 253","02"," 253","02","2005", ,"2005", ," 253","02"," 229",  ,"2006", ,"1000", ," 253",  ," 229",  ,"5000", ,"1000", ," 253",  ," 229",  ,"37","030","37","030", ,"30","24",,2C,2C, ,9B ,9D , , ,"1008469","209780","1008651","209759","0","0", ,"0","0087762","0041186",*,*, , ," 1",,"10250",       ,       ,          ,          ,"0172483","2",,, ,  ,  ,,  ,C,  ,  ,  ,"10",  , , 52-005, 52-099, 52-004, 52-098,"52005","52099","52004","52098","4389401000000", , , ,184.159711657699
"484","179086",QUEENS BOULEVARD,                                ,"0",G, ,G, ,T,DOT, ,"3894","03230","459990",      ,"01",  ,  ,  ,  ,  ,  ,  ,  ,"1","0074256","1",X,"11377","11377","4","4","402","402","137","122"," 489",  ," 489",  ,"1004", ,"1004", ," 483",  ," 489",  ,"2011", ,"1006", ," 483",  ," 489",  ,"2013", ,"1002", ," 483",  ," 489",  ,"30","025","30","018", ,"24","24",,1D,1E, ,9D ,9D , , ,"1013111","208995","1013280","208956","0","0", ,"0","0045500","0045502",*,*, , ," 1",,"10271",       ,       ,          ,          ,"0074256","2",,, ,  ,  ,,  ,C,  ,  ,  ,"10",  , , 69-001, 69-011, 69-000, 69-010,"69001","69011","69000","69010","4389401000000", , , ,173.337736251883
"485","179098",BROOKLYN QUEENS EXPRESSWAY,                                ,"0",G, ,G,V,T,DCP, ,"1440","00300","437395",      ,"01","18",  ,  ,  ,  ,  ,  ,  ,"1","0174773","1",X,"11377","11377","4","4","402","402","136","143"," 247",  ," 247",  ,"1011", ,"1011", ," 243",  ," 245",  ,"4003", ,"3000", ," 243",  ," 245",  ,"1011", ,"1000", ," 243",  ," 245",  ,"30","016","30","012", ,"24","24",,1E,1E, ,9D ,9D , , ,"1012268","209191","1012247","209169","0","0", ,"0","0045390","0089467",*,*, , ," 2",,"22736",       ,       ,          ,          ,"0174773","2",,, ,  ,  ,,  ,C,  ,  ,  ,"10",  , ,,,,,"0","0","0","0","4144001180000", , , ,30.5520213948588
"486","179281",BROOKLYN QUEENS EXPRESSWAY WEST,                                ,"0",U, ,B, ,W,DOT, ,"1444","08060","437395",      ,"08","01","03","06","18",  ,  ,  ,  ,"4","0075671","1", ,"11377","11377","4","4","401","401","103","121"," 297",  ," 297",  ,"1005", ,"1005", ," 297",  ," 297",  ,"1013", ,"1013", ," 297",  ," 297",  ,"1010", ,"1010", ," 297",  ," 297",  ,"34","025","34","025", ,"30","30",,5E,5E, ,9C ,9C , , ,"1011273","217129","1011417","216447","1007110","215896",L,"4342","0046331","0046322",M,M, , ," 1","30448","26240",       ,       ,"0102263588","0102267389","0075671","2",28,30, ,  ,  ,,"25",C," 1"," 2"," 3",,  , ,,, 26-000, 26-098,"0","0","26000","26098","4144408010306", , , ,698.246055779626
"487","179544",WOODSIDE AVENUE,                                ,"0",U, ,B, ,A,DOT, ,"5100","00090","468290",      ,"01",  ,  ,  ,  ,  ,  ,  ,  ,"1","0068185","1",X,"11377","11377","4","4","402","402","115","101"," 255",  ," 251",  ,"1014", ,"1000", ," 255",  ," 251",  ,"1015", ,"1000", ," 255",  ," 251",  ,"1015", ,"1003", ," 255",  ," 251",  ,"30","044","37","033", ,"30","30",,2C,2C, ,9D ,9D , , ,"1009145","211891","1009210","211720","0","0", ,"0","0041889","0041892",M,M, , ," 1","30343","26136",       ,       ,"0102267744","0102265123","0068185","2",30,34, ,  ,  ,,"20",C," 1"," 2"," 3",,  , , 53-009, 53-019, 53-012, 53-038,"53009","53019","53012","53038","4510001000000", , , ,182.701622204839
"488","179783",NORTHERN BOULEVARD,                                ,"0",U, ,B, ,T,DOT, ,"3632","00360","457790",      ,"01",  ,  ,  ,  ,  ,  ,  ,  ,"1","0075420","1",X,"11377","11377","4","4","401","402","207","103"," 297",  ," 257",  ,"2009", ,"1001", ," 297",  ," 257",  ,"2010", ,"1001", ," 297",  ," 257",  ,"2010", ,"1002", ," 297",  ," 257",  ,"30","048","30","052", ,"30","30",,5D,2C, ,9D ,9D , , ,"1010869","213852","1011128","213888","0","0", ,"0","0046196","0046287",M,M, , ," 1","9813","8411",       ,       ,"0102267101","0102264484","0075420","2",66,70, ,  ,  ,,"25",C," 4"," 2"," 6","10",  , , 57-001, 57-099, 57-000, 57-098,"57001","57099","57000","57098","4363201000000", , ,"3",261.089365573801
"489","180335",WOODSIDE AVENUE,                                ,"0",U, ,B, ,T,DOT, ,"5100","00370","468290",      ,"01",  ,  ,  ,  ,  ,  ,  ,  ,"1","0074446","1",X,"11377","11377","4","4","404","404","201","103"," 265","01"," 483","01","1000", ,"1002", ," 265",  ," 483",  ,"2000", ,"1002", ," 265",  ," 483",  ,"2000", ,"1002", ," 265",  ," 483",  ,"30","019","30","039", ,"24","24",,1C,1E, ,9D ,9D , , ,"1014287","209985","1014489","210029","0","0", ,"0","0045613","0046530",M,M, , ," 1","30380","26172",       ,       ,"0092264105","0092263027","0074446","2",42,44, ,  ,  ,,"25",C," 2"," 2"," 4",,  , , 73-001, 73-017, 73-000, 73-098,"73001","73017","73000","73098","4510001000000", , , ,206.081973779139
"490","180611",ROOSEVELT AVENUE,                                ,"0",U, ,B, ,T,DOT, ,"4036","00235","461090",      ,"01",  ,  ,  ,  ,  ,  ,  ,  ,"1","0075907","2", ,"11377","11377","4","4","402","402","216","128"," 263",  ," 265","02","1005", ,"1001", ," 263",  ," 263",  ,"1004", ,"2000", ," 263",  ," 263",  ,"2000", ,"2001", ," 263",  ," 263",  ,"30","054","30","024", ,"30","24",,1D,1D, ,9D ,9D , , ,"1013337","211253","1013365","211258","0","0", ,"0","0046456","0046457",M,M, , ," 3","9375","8017",       ,       ,"0092269136","0092264775","0075907","2",45,45, ,  ,  ,,"25",C," 4",  ," 4",,  , ,,,,,"0","0","0","0","4403601000000", , ,"2",27.7337352454332
"491","180612",ROOSEVELT AVENUE,ROOSEVELT AVE BRDGE OVER I- 278 ,"0",U, ,B, ,T,DOT,N,"4036","00235","461090","400595","01",  ,  ,  ,  ,  ,  ,  ,  ,"1","0075907","2", ,"11377","11377","4","4","402","402","216","128"," 263",  ," 265","02","1005", ,"1001", ," 263",  ," 263",  ,"1004", ,"2000", ," 263",  ," 263",  ,"2000", ,"2001", ," 263",  ," 263",  ,"30","054","30","024", ,"30","24",,1D,1D, ,9D ,9D , , ,"1013337","211253","1013365","211258","0","0", ,"0","0046456","0046457",M,M, , ," 3","9375","8017",       ,       ,"0092269136","0092264775","0075907","2",45,45, ,  ,  ,,"25",C," 4",  ," 4",,  , ,,,,,"0","0","0","0",40059501000000N, , ,"2",27.7337352454332
"492","181069",QUEENS BOULEVARD,                                ,"0",R, ,R, ,A,DOT, ,"3894","11510","459990",      ,"01","05","08","33",  ,  ,  ,  ,  ,"1","0191290","1", ,"11377","11377","4","4","402","402","519","513"," 253","02"," 253","02","2005", ,"2005", ," 253","02"," 253","02","2006", ,"2006", ," 253",  ," 253",  ,"5000", ,"5000", ," 253",  ," 253",  ,"37","030","37","030", ,"30","30",,2C,2C, ,9B ,9D , , ,"1008471","209805","1008655","209781","0","0", ,"0","0106194","0082872",M,M, , ," 1","12086",,       ,       ,"0102268472","0102266582","0191290","2",30,42, ,  ,  ,,"25",C," 3",  ," 3","10",  , ,,,,,"0","0","0","0","4389401050833", , ,"3",185.814856680888
"493","181105",QUEENS BOULEVARD,                                ,"0",R, ,R, ,W,DOT, ,"3894","13910","459990",      ,"01","06","10",  ,  ,  ,  ,  ,  ,"1","0155544","1", ,"11377","11377","4","4","402","402","104","118"," 489",  ," 489",  ,"1003", ,"1003", ," 489",  ," 489",  ,"1005", ,"1005", ," 489",  ," 489",  ,"1001", ,"1001", ," 489",  ," 489",  ,"30","018","30","018", ,"24","24",,1E,1E, ,9D ,9D , , ,"1013558","208860","1014116","208724","0","0",I,"0","0083417","0083229",M,M, , ," 1","12343",,       ,       ,"0092268714","0092269783","0155544","2",32,36, ,  ,  ,,"25",C," 2",  ," 2","10",  , ,,,,,"0","0","0","0","4389401061000", , ,"3",574.706035127426
"494","181109",QUEENS BOULEVARD,                                ,"0",R, ,R, ,A,DOT, ,"3894","07450","459990",      ,"01","05","07","43",  ,  ,  ,  ,  ,"1","0155536","1", ,"11377","11377","4","4","402","402","208","201"," 249",  ," 249",  ,"2004", ,"2003", ," 249",  ," 249",  ,"2002", ,"2002", ," 249",  ," 249",  ,"2002", ,"2002", ," 249",  ," 249",  ,"30","021","30","021", ,"30","30",,1C,1C, ,9D ,9D , , ,"1010616","209520","1010700","209507","0","0", ,"0","0093081","0081723",M,M, , ," 1","12070",,       ,       ,"0102263877","0102268456","0155536","2",30,32, ," 1",TF,,"25",C," 2"," 1"," 3",,  , , 59-051, 59-099,,,"59051","59099","0","0","4389401050743", , ,"3",84.2410647142813
"495","181509",BROOKLYN QUEENS EXPRESSWAY WEST,                                ,"0",R, ,R,V,W,DOT, ,"1444","00340","437395",      ,"08","01","15","18",  ,  ,  ,  ,  ,"1","0152941","1", ,"11377","11377","4","4","401","401","127","107"," 297",  ," 297",  ,"1006", ,"1005", ," 297",  ," 297",  ,"1003", ,"1003", ," 297",  ," 297",  ,"1003", ,"1003", ," 297",  ," 297",  ,"34","025","34","025", ,"30","30",,5E,5E, ,9C ,9C , , ,"1011158","217592","1011302","217137","0","0",I,"0","0085871","0086230",I,I, , ," 2","26525",,       ,       ,"0102266026","0102268169","0152941","2",24,40, ,  ,  ,,"45",C," 2",  ," 2","10",  , ,,,,,"0","0","0","0","4144408011518", , ,"3",477.788147967816
